0.01	0.02	0.025	0.052	0.058	0.018	0.017	0.06	0.042
0.09	0.071	0.011	0.075	0.012	0.022	0.09	0.03	0.028
0.01	0.05	0.021	0.037	0.024	0.016	0.011	0.063	0.03
0.016	0.06	0.011	0.017	0.023	0.071	0.01	0.01	0.04
0.036	0.06	0.08	0.028	0.038	0.039	0.044	0.09	0.08
0.014	0.088	0.01	0.082	0.083	0.012	0.016	0.03	0.056
0.037	0.027	0.014	0.018	0.028	0.04	0.07	0.02	0.072
0.035	0.051	0.019	0.069	0.093	0.01	0.07	0.014	0.023
0.067	0.081	0.013	0.012	0.011	0.034	0.011	0.01	0.046
0.025	0.027	0.012	0.012	0.075	0.036	0.018	0.017	0.04
